NU_INSCRICAO ,NU_NOTA_MT
d2199ad3798378581d3db290edac20e6a8d2f512,427.62925951877514
f63f44613961003915a819e2465f65f8b1c4ce0e,17.30060227450072
433d7587b0eb6461a84436249f5d4d41908d086f,488.7910644407744
94765633cd0c0da96023446491eabfbc117291a6,551.2007517637512
31f44d0062d0d0efcaf4e588ff85e68e8efba3bf,-12.231341363927754
d117d8b9a83a8ee3724dcb6a0b094a14f31f5ab5,404.9134398847003
1d21248efc9e58af35d07c96b7c5c7e7a4c337d9,436.7160228964572
11faa8d25889a9feec88db37e1216af32efbd722,530.1011060302881
ba764bf1f641968d4238ef96bf33c8ff0ca349de,439.4815790115711
b6c3bebd9592aeb68454400d66770c1dc36b617f,-0.297242731504042
b9186b31fb76767b791d7ce225b75ac2d3556c3e,21.04469530251363
59021ffb0ffa8d14779ae577ad271c48d0662850,546.0945662362544
6e7c3c05398fe3e37f89af66500e2ac852c1b242,520.4411045216596
e1398875cfd010279a2caa45856fe36fa23db13b,473.59390454913733
db3d90f89c29a36e60a2fa1f8312dff684a8c7ca,476.4007442285592
853ff86e4230b5fc4550d8c6d8754230ff76cf10,538.8170125038771
eca201c1f9e3f209e70ac20a815a5a1e67f84d8e,459.96676879052774
afa62a9485a506845d2d3f80654ce36e59933c76,477.4188333584406
9be83237946c1673efeb93474677f30a899fff59,514.9291412043317
1abc9e03542873e49b15dd2815847035103f171d,-6.1765646041677655
226f5d4eb048043a98d1c5bb7b4b80f84a38647c,475.4791500780722
4f76e3eafa40d015873053a093b55f9bcc475985,443.686971280631
cd395dfcbd97cf83fb2350967ba10859bfba99fc,552.7453709413332
98df0ea2118fbf84dc538dbe48a6e7cc3d098d40,496.4675293265721
056935dcd1ecdac15ee0904511a683789f83ee0c,5.592688550605317
d110755bba99faa7ac5b81055e1d5fa8cd21fecd,517.8659896234658
2a09d8a011e5815bdcc1ce8ec524c4a04f59d8bd,472.37716821367127
3f560a013edffd883729631b950fe8c33086a4e7,-14.191115321482343
c5f367969c76e949ea80c19a2022b9edab8fdf14,464.2980329258003
7a6573f76754dc8864347bf8eca3c79c7fd4655c,-5.523306618316241
2308a96be6d26f43fbf2798017060bdd9adf1cc8,527.3221080922465
dcbd9b53035d83db36a2c9337617c75fdf390e66,443.1800508361244
c41e276d221a64e6f99f746e4d3371beeab498b5,340.75340751929883
a15d57f9c4f246a86723757af5a0bbbfed64e9e4,586.8512106149778
7b8468f2def4bf791aa6fb84cdb43001a39ca9d4,-10.096112519276929
d3fe8dc33c9ff8790ef68fa8db2c8204151a6d6e,496.3796788237095
51cba2f4bb41e17ee382727bb15bf649f13ccb2d,5.592688550605317
97112db3bf549e2aa70f8660fdc53cc54d5be8e4,428.17320111445264
cd0bd3102082d7caf457a870ba035d2ed8e4b70b,437.6966727112568
6fc6e1fc9a4ded705f928400846a90fc957158d4,448.11984354364716
34931ae1dd98fc711b16269d5d0ec7fa35375fd0,-15.975434391940667
df580026912f40174b5457b8cde102ec0d2715d6,514.0855310998484
3535162b91f7058e31911cbbd0a5cdcfcfde6bc5,501.7328763380896
d46c0ae4c5aa2585afbd9f4953c05d81c0efa53a,566.7877054438211
7e42f08685aed5b977bde2d37447a4b135922934,23.179924147164456
974deac37c37bcefc52fcba9372695d122050419,495.3340904622717
d2a6f6f96c0f1014afbb875d5ebdffe6679fbd9d,530.4193935997725
81c02686b618ac8989078db128a10bd062bbc1c6,494.9704224668341
5e102d3a33a37943aaaad23a9cfbd328cc186a2b,486.5879843365329
3901704b7c8c29102bf84cc2cfff99a05373bc5c,-11.402628490979993
57e3e50b28bcc56299840d70276aa8a4db45e2b8,429.93256542223554
9a1c3b2479d34ab5ca2bb67710439244ebacc7d0,19.084921344959042
86ec89a215db71db2870cacc23b7e86568f3ad5c,-6.1765646041677655
43a80676362831c2150ed1b8079fba222f63fb06,482.2834391012594
114aca09c0d021c07d12582bfa58ce3bf51b6c05,477.55147171627794
eb1582be21584a78698175dde5da259d3522ce3b,524.6457842402301
1798818f9f29b837aa5d16c706d2cee37adacb4f,487.2914340994067
c9e8a8923f70d05b8c67cbb8464afdf22c714e8b,475.676224503122
a017747b1da8399d4c6c01d68b3810aa30436f15,436.945224196056
0d5005e29e8a7509d905b4928ece72120b1c5b5f,517.4043127986527
81f7346364a05a62b40e34383495dcde49932214,487.3274600302348
9c859991484a4c94945e64ab8699a6a5fe4b8991,-14.191115321482343
293247fd6ab84341460eacf0852e09ba76394c3f,423.32702811904136
73de3613ab08bf25ae1e8596ab744d394d445bc4,431.87986212028994
831b0d69bc449e9c31b858a3c91ac0e72d8967b4,490.0386801262327
aa84715c8bd7dec90ed9cea471b3663ff0a7b725,444.8899212019442
de01694d3e1126ffc5cb4a44a962deda19982c0b,27.752730048125144
f3ceea7492e66994ad3f5163734fc64fdf3e61d1,463.1721940761161
b92b8e41520734cf1dfbb20f83060b0e2b014c9a,436.97670284164286
0c1a5449c37187686b05bc62e9f146ed84781663,467.16872579043735
d20f7dc1bf8a9892163b351bdb1649c92a2f0f98,475.46592996697296
df212baa6e37f5feb46a1b0ca91dfb8547441ffd,476.9227057600918
ea8246a33566309334131612796eb07896b1127a,547.1536932021761
a16650764a9929213dda7b1495bb05b9bc1c6f61,21.220150189609868
60ef55a1387b4749eafefa139da8699538525d76,526.484146629843
8de0ddef973151fa2103c61ca20f185e9b453e4f,487.75241083325255
91a6c4376b45a91563d7bf86b7010aa379f60064,516.6490784755988
f9f9d96e6715d021fd0cee5aa8dc364291d8bfe7,-14.015660434386092
369caf36ae09bab2f650ee73f4e2f5ca4b51500a,1.0092732401990077
29ec3a2052049529d8f9c0dbe6a66fcbb6d4a8cf,10.114764430133917
00e3220ed4a0f76a9076d28531cdfae81a3774b0,523.8887007514584
ec046e841f171eb9c6e454e72a3f33661f3e93f4,535.3733523971646
656da1a454d7e4624cef339e292ca2162edf5fb9,485.7854615751018
6f9c1dcc32147095e7e559a371bb15c0628c4d20,-6.1765646041677655
e42c8fc536fcc0f03d1c999f1614ca9494c7f96e,391.58849168955754
8e0139c712cc6cc3c4c057cbab9143775b16ec2b,517.7143993647894
decbb1a8fbb385fad743e715992a363e48ee1b81,497.350075872585
216e9617c7a7eb6a4c9eeb4df1678f3dc32970d9,541.6921132106531
7062ac5874b112cee7c8962f94917173963df68f,438.58730963604563
dda40a4fa50785f172a3d08988927b12cfd59de3,464.78722339347536
cd8ca0e8d8f4f7889d022c9088a6e85f86a05498,469.91836343997244
b39f4ff6b532f22b665b7d30701192d53906e4e8,479.7423412765385
f133fa7a736d63f9787ff6c49be08ad1211dc26b,-12.231341363927754
19a484816fd3e2fd66df62485aa439bab2ba565e,-12.709144462683042
807617fa9b25b83357ad9e5e760980dc7161c263,468.4729659455905
92c556a8c4214129744e02df1485d84bb5b65e78,474.21097185178525
24ec2aebf6acc137ab4379d90013430aad51f535,426.6234967390338
b05f0ef1af82b0c4abc16ae94c7848a11fdd2da3,451.3646719334518
0941e373e9fb4438afdb45de821fd564b0d5ccec,26.748562288081118
676315f7d3b3e40a4e6afb80a9666a3922ab1a25,455.79673525478375
0d427f80fbdefb439b19f66b2f252a08d51133ca,481.0277377786667
1f204af7207a52f8876eb4190ee62b8368f14ba8,418.2539035128232
28f9cceb1004966ef28ce62b93f9246ac400f9b7,491.5329257168418
1fc8cb4d7311920a7e139803e549773382b0a52c,445.0060308109818
39c145664bcf502e7c2604d04a793c4412acc0a7,454.1594379613892
a838585107b67204e12144a508c3c419b88a676b,500.0596073818887
35ced2eab61ae4486081b69e0b46f44f47e80e5b,387.51893579146383
17b667708aa0b6bb36890d6b01dbf0bb1a351d6c,499.48853363095515
929fe8ffb1f4258e37e8c19a2e9489a3a7e0bb61,-10.096112519276929
